filename,fold,target,category,esc10,src_file,take
1-101296-A-19.wav,1,19,thunderstorm,False,101296,A
1-101296-B-19.wav,1,19,thunderstorm,False,101296,B
1-115521-A-19.wav,1,19,thunderstorm,False,115521,A
1-12653-A-15.wav,1,15,water_drops,False,12653,A
1-12654-A-15.wav,1,15,water_drops,False,12654,A
1-12654-B-15.wav,1,15,water_drops,False,12654,B
1-13571-A-46.wav,1,46,church_bells,False,13571,A
1-13572-A-46.wav,1,46,church_bells,False,13572,A
1-13613-A-37.wav,1,37,clock_alarm,False,13613,A
1-137296-A-16.wav,1,16,wind,False,137296,A
1-14262-A-37.wav,1,37,clock_alarm,False,14262,A
1-16746-A-15.wav,1,15,water_drops,False,16746,A
1-17367-A-10.wav,1,10,rain,True,17367,A
1-17585-A-7.wav,1,7,insects,False,17585,A
1-19501-A-7.wav,1,7,insects,False,19501,A
1-21189-A-10.wav,1,10,rain,True,21189,A
1-21421-A-46.wav,1,46,church_bells,False,21421,A
1-21934-A-38.wav,1,38,clock_tick,True,21934,A
1-21935-A-38.wav,1,38,clock_tick,True,21935,A
1-22804-A-46.wav,1,46,church_bells,False,22804,A
1-23094-A-15.wav,1,15,water_drops,False,23094,A
1-23094-B-15.wav,1,15,water_drops,False,23094,B
1-23222-A-19.wav,1,19,thunderstorm,False,23222,A
1-23222-B-19.wav,1,19,thunderstorm,False,23222,B
1-24524-A-19.wav,1,19,thunderstorm,False,24524,A
1-24524-B-19.wav,1,19,thunderstorm,False,24524,B
1-24524-C-19.wav,1,19,thunderstorm,False,24524,C
1-26222-A-10.wav,1,10,rain,True,26222,A
1-28135-A-11.wav,1,11,sea_waves,True,28135,A
1-28135-B-11.wav,1,11,sea_waves,True,28135,B
1-29532-A-16.wav,1,16,wind,False,29532,A
1-29561-A-10.wav,1,10,rain,True,29561,A
1-34853-A-37.wav,1,37,clock_alarm,False,34853,A
1-35687-A-38.wav,1,38,clock_tick,True,35687,A
1-39901-A-11.wav,1,11,sea_waves,True,39901,A
1-39901-B-11.wav,1,11,sea_waves,True,39901,B
1-40154-A-46.wav,1,46,church_bells,False,40154,A
1-42139-A-38.wav,1,38,clock_tick,True,42139,A
1-43760-A-11.wav,1,11,sea_waves,True,43760,A
